300 38000
0 1 27
0 2 26
0 3 24
0 4 60
0 5 48
0 6 76
0 8 82
0 9 73
0 10 84
0 11 81
0 14 8
0 15 21
0 16 61
0 17 26
0 20 17
0 21 13
0 22 95
0 23 88
0 24 7
0 25 52
0 26 29
0 27 52
0 28 8
0 29 62
0 30 34
0 33 31
0 34 9
0 35 30
0 36 87
0 37 12
0 38 53
0 39 34
0 40 77
0 41 82
0 42 49
0 43 30
0 44 58
0 45 68
0 46 86
0 48 70
0 49 45
0 50 27
0 51 89
0 52 97
0 54 81
0 55 16
0 56 57
0 57 25
0 58 37
0 63 31
0 64 13
0 65 13
0 66 66
0 67 100
0 68 67
0 70 58
0 71 91
0 72 78
0 73 67
0 74 38
0 75 23
0 76 86
0 77 19
0 78 3
0 81 37
0 82 45
0 83 82
0 84 95
0 86 64
0 88 6
0 89 72
0 90 41
0 92 0
0 94 39
0 95 27
0 97 25
0 98 39
0 99 54
0 101 1
0 102 58
0 103 27
0 104 29
0 105 94
0 106 47
0 107 78
0 108 96
0 109 38
0 110 97
0 111 79
0 112 0
0 113 97
0 114 71
0 115 73
0 116 4
0 117 95
0 118 97
0 119 49
0 120 53
0 121 61
0 122 2
0 123 44
0 124 1
0 125 93
0 126 12
0 127 45
0 128 41
0 129 4
0 131 72
0 132 75
0 133 24
0 134 40
0 135 89
0 136 74
0 137 59
0 138 80
0 139 25
0 140 35
0 141 1
0 142 26
0 143 31
0 144 21
0 145 57
0 146 34
0 148 95
0 149 33
0 150 14
0 151 12
0 152 88
0 153 38
0 154 47
0 155 20
0 156 99
0 158 74
0 159 21
0 160 62
0 161 33
0 162 14
0 163 41
0 164 52
0 165 25
0 166 34
0 167 22
0 168 30
0 169 72
0 171 3
0 172 2
0 174 44
0 175 11
0 176 73
0 177 73
0 178 51
0 179 58
0 180 60
0 181 60
0 182 21
0 183 32
0 184 46
0 185 87
0 186 40
0 187 79
0 188 97
0 189 33
0 190 78
0 191 66
0 192 29
0 193 53
0 194 92
0 195 77
0 196 40
0 197 30
0 198 73
0 199 35
0 200 99
0 201 35
0 203 11
0 204 60
0 206 12
0 208 94
0 209 87
0 210 82
0 211 88
0 212 26
0 214 45
0 215 5
0 216 39
0 217 89
0 218 30
0 219 17
0 221 27
0 222 6
0 224 86
0 225 31
0 226 79
0 227 29
0 228 29
0 230 91
0 231 60
0 232 98
0 233 29
0 234 47
0 235 39
0 236 73
0 237 10
0 238 85
0 240 17
0 241 6
0 242 82
0 243 14
0 245 18
0 246 78
0 247 79
0 248 72
0 249 36
0 250 81
0 251 20
0 252 14
0 254 16
0 255 50
0 256 57
0 257 84
0 259 61
0 260 80
0 261 62
0 263 24
0 264 77
0 265 58
0 266 2
0 267 82
0 268 34
0 269 4
0 270 7
0 271 35
0 272 56
0 273 95
0 275 16
0 276 84
0 278 42
0 279 67
0 280 61
0 281 13
0 282 88
0 283 15
0 284 95
0 285 68
0 286 1
0 287 45
0 288 56
0 289 98
0 290 50
0 291 65
0 292 11
0 293 55
0 295 19
0 296 16
1 2 69
1 3 36
1 4 33
1 5 18
1 6 19
1 7 88
1 8 75
1 9 18
1 10 10
1 13 19
1 15 6
1 16 52
1 17 14
1 19 30
1 20 57
1 21 30
1 22 53
1 23 78
1 24 28
1 25 58
1 26 41
1 27 26
1 28 84
1 29 40
1 30 49
1 31 78
1 32 33
1 34 36
1 35 30
1 36 28
1 37 89
1 38 5
1 39 29
1 40 33
1 41 3
1 42 41
1 43 87
1 44 85
1 45 92
1 46 85
1 47 29
1 48 42
1 49 12
1 51 8
1 53 44
1 54 45
1 55 22
1 56 99
1 57 35
1 60 18
1 61 84
1 62 42
1 63 82
1 64 61
1 65 7
1 66 57
1 67 29
1 68 80
1 69 36
1 70 94
1 71 74
1 72 51
1 73 95
1 74 15
1 75 9
1 76 13
1 78 28
1 79 45
1 80 6
1 81 86
1 82 65
1 83 35
1 84 64
1 85 36
1 87 76
1 88 67
1 89 82
1 90 10
1 91 59
1 92 73
1 93 67
1 94 9
1 95 63
1 96 46
1 97 3
1 98 87
1 99 5
1 100 53
1 101 63
1 103 54
1 105 7
1 108 0
1 109 73
1 110 72
1 113 60
1 114 43
1 115 20
1 116 9
1 117 6
1 118 26
1 119 80
1 120 36
1 122 30
1 123 85
1 125 3
1 126 97
1 127 93
1 128 2
1 129 57
1 130 24
1 132 5
1 133 42
1 134 97
1 135 87
1 136 80
1 137 40
1 138 35
1 140 100
1 142 79
1 143 68
1 144 26
1 145 10
1 146 65
1 148 61
1 149 79
1 150 59
1 151 60
1 152 46
1 153 20
1 154 32
1 155 72
1 156 95
1 157 80
1 158 34
1 159 62
1 160 47
1 161 63
1 162 75
1 163 70
1 164 27
1 165 94
1 166 14
1 167 51
1 168 73
1 170 83
1 171 87
1 172 68
1 173 74
1 174 98
1 175 86
1 178 52
1 180 72
1 181 91
1 182 22
1 183 12
1 184 39
1 186 69
1 187 49
1 188 97
1 190 58
1 191 10
1 192 14
1 193 70
1 194 61
1 195 30
1 196 20
1 197 25
1 198 41
1 200 79
1 201 32
1 204 82
1 205 27
1 206 91
1 207 77
1 208 21
1 209 24
1 210 9
1 211 26
1 212 93
1 213 58
1 214 17
1 215 23
1 216 50
1 217 2
1 218 55
1 220 51
1 223 45
1 224 64
1 225 55
1 226 64
1 227 6
1 230 87
1 231 90
1 232 14
1 234 72
1 235 35
1 236 57
1 237 36
1 238 49
1 240 39
1 241 31
1 242 54
1 244 95
1 245 47
1 246 30
1 247 78
1 248 63
1 249 38
1 253 66
1 254 34
1 255 25
1 257 53
1 259 94
1 260 36
1 261 16
1 262 95
1 263 0
1 264 38
1 265 82
1 266 36
1 269 35
1 271 11
1 272 94
1 273 35
1 275 64
1 276 95
1 279 88
1 280 9
1 282 40
1 283 84
1 284 5
1 285 91
1 286 60
1 287 82
1 288 20
1 289 58
1 290 36
1 291 93
1 292 55
1 293 90
1 294 28
1 295 22
1 296 90
1 297 96
1 298 52
1 299 74
2 4 65
2 5 8
2 6 100
2 7 98
2 8 1
2 9 45
2 10 72
2 11 6
2 12 28
2 13 16
2 14 17
2 15 43
2 16 18
2 17 74
2 18 16
