300 4000
0 256 38
0 4 66
0 137 30
0 140 59
0 141 10
0 145 82
0 275 95
0 284 97
0 158 28
0 288 68
0 28 90
0 298 53
0 174 94
0 175 0
0 265 27
0 189 26
0 62 50
0 64 87
0 269 51
0 120 98
0 219 100
0 101 96
0 234 31
0 237 23
0 243 63
0 244 63
0 246 17
0 248 62
0 255 23
0 127 4
1 138 39
1 269 33
1 15 76
1 144 35
1 147 68
1 155 22
1 30 94
1 31 15
1 288 54
1 42 69
1 44 27
1 176 50
1 61 21
1 68 67
1 74 17
1 204 38
1 80 70
1 90 52
1 93 88
1 222 0
1 230 59
1 235 49
1 240 44
1 113 37
2 3 94
2 5 100
2 6 76
2 139 90
2 283 37
2 29 55
2 287 93
2 288 60
2 292 95
2 166 87
2 174 27
2 178 95
2 62 81
2 64 44
2 203 41
2 75 77
2 86 71
2 222 28
2 224 12
2 227 88
2 106 95
2 235 42
2 111 36
2 114 55
3 131 100
3 8 94
3 269 68
3 15 60
3 17 88
3 278 68
3 26 10
3 160 51
3 34 96
3 35 94
3 170 12
3 179 20
3 61 77
3 196 40
3 72 75
3 205 40
3 89 86
3 228 97
3 230 41
3 273 19
3 234 82
3 242 88
3 246 20
3 121 94
4 131 25
4 271 13
4 148 98
4 277 71
4 22 70
4 23 26
4 159 93
4 161 35
4 290 60
4 291 0
4 70 41
4 298 94
4 172 49
4 177 87
4 55 82
4 191 36
4 198 64
4 230 17
4 232 49
4 247 54
4 120 75
4 42 27
4 254 20
5 6 68
5 138 71
5 141 62
5 270 43
5 271 99
5 17 28
5 277 53
5 280 33
5 25 23
5 157 48
5 30 77
5 181 81
5 55 3
5 56 49
5 79 91
5 81 44
5 14 70
5 94 86
5 233 84
5 106 40
5 235 12
5 112 57
5 118 82
5 120 34
5 123 26
5 254 73
5 255 17
6 129 50
6 259 88
6 267 33
6 270 92
6 17 71
6 148 27
6 278 88
6 31 61
6 162 93
6 165 34
6 48 5
6 178 69
6 54 81
6 185 90
6 159 24
6 61 46
6 192 4
6 68 54
6 83 7
6 214 61
6 220 38
6 223 42
6 228 30
6 102 99
6 236 69
6 239 23
6 117 61
7 129 55
7 261 10
7 137 26
7 10 46
7 139 42
7 14 36
7 17 80
7 153 28
7 32 95
7 163 67
7 40 61
7 92 81
7 182 75
7 296 3
7 195 33
7 204 71
7 211 33
7 84 88
7 142 58
7 217 79
7 91 14
7 220 48
7 95 40
7 224 38
7 98 22
7 232 62
7 113 81
7 121 13
7 122 69
8 17 6
8 263 62
8 10 87
8 267 12
8 16 6
8 145 23
8 28 16
8 158 39
8 159 85
8 36 12
8 297 37
8 176 90
8 49 24
8 30 59
8 66 4
8 207 66
8 85 52
8 216 7
8 93 16
8 98 71
8 102 92
8 231 7
8 117 57
8 120 50
9 256 65
9 257 3
9 263 49
9 11 67
9 270 40
9 147 40
9 22 67
9 279 21
9 27 61
9 156 31
9 29 72
9 286 80
9 163 46
9 164 15
9 297 3
9 49 14
9 178 76
9 180 41
9 57 36
9 61 90
9 190 55
9 196 6
9 69 32
9 73 52
9 204 4
9 84 92
9 87 40
9 36 14
9 230 61
9 233 26
9 237 60
10 257 1
10 130 91
10 13 72
10 273 3
10 147 85
10 35 51
10 164 54
10 129 84
10 47 40
10 179 99
10 52 99
10 201 39
10 203 96
10 207 9
10 213 84
10 92 95
10 222 6
10 233 100
10 110 7
10 115 23
10 253 45
11 129 77
11 132 38
11 140 51
11 143 14
11 272 35
11 145 39
11 196 77
11 154 66
11 30 11
11 161 75
11 35 70
11 185 11
11 186 16
11 189 43
11 68 33
11 207 21
11 83 5
11 57 8
11 93 72
11 100 7
11 106 55
11 107 7
11 249 8
11 251 22
11 125 88
11 254 24
11 127 89
12 86 57
12 13 19
12 146 42
12 23 15
12 154 54
12 283 75
12 287 60
12 36 16
12 38 15
12 39 32
12 298 17
12 43 1
12 53 26
12 201 78
12 206 68
12 82 48
12 84 89
12 214 71
12 88 61
12 97 4
12 229 56
12 103 86
12 241 25
12 117 93
13 51 98
13 261 79
13 135 38
13 265 75
13 143 35
13 273 28
13 146 62
13 28 54
13 159 92
13 291 94
13 170 39
13 41 2
13 298 50
13 43 27
13 50 46
13 178 63
13 179 33
13 181 51
13 137 82
13 266 92
13 75 21
13 205 46
13 78 78
13 80 94
13 163 74
13 212 97
13 87 81
13 92 80
13 95 60
13 98 100
13 231 16
13 232 70
13 111 0
13 297 44
13 251 74
13 125 10
14 129 10
14 261 13
14 137 21
14 146 53
14 149 7
14 278 24
14 279 6
14 24 61
14 283 16
14 160 3
14 42 25
14 49 31
14 53 74
14 186 59
14 210 73
14 92 84
14 93 30
14 94 60
14 223 4
14 101 84
14 106 1
14 237 17
14 241 20
14 117 96
14 170 98
14 249 3
14 253 36
14 254 21
15 132 96
15 265 88
15 146 45
15 278 28
15 25 78
15 282 97
15 284 80
15 165 65
15 41 4
15 298 31
15 57 26
15 67 46
15 72 59
15 74 71
15 203 52
15 120 53
15 213 18
15 89 83
15 232 98
15 236 74
15 113 75
15 116 91
15 248 65
15 249 56
15 125 51
15 126 43
15 127 96
16 226 32
16 99 3
16 261 94
16 103 86
16 233 26
16 279 43
16 208 45
16 115 85
16 57 44
16 151 14
16 153 24
16 154 29
16 155 57
16 252 36
16 69 22
16 191 33
17 256 90
17 267 43
17 141 88
17 142 37
17 273 47
17 259 29
17 155 0
17 32 100
17 163 85
17 295 91
17 178 72
17 52 96
17 57 99
17 189 27
17 87 2
17 90 70
17 101 9
17 231 84
17 122 6
18 138 12
18 271 81
18 272 45
18 29 80
18 292 83
18 169 36
18 174 33
18 52 38
18 186 73
18 63 49
18 69 83
18 199 58
18 214 85
18 219 71
18 92 16
18 101 62
18 231 82
18 104 98
18 233 41
18 106 6
18 118 47
18 251 67
18 253 25
18 254 89
19 288 3
19 161 79
19 155 73
19 261 7
19 166 59
19 39 68
19 177 35
19 138 34
19 267 65
19 141 72
19 27 18
19 145 32
19 115 46
19 116 69
19 213 54
19 229 99
19 186 91
19 123 9
19 218 57
19 127 47
20 262 40
20 271 96
20 150 44
20 151 74
20 25 12
20 288 33
20 36 5
20 294 64
20 299 38
20 44 18
20 173 49
20 181 62
20 202 90
20 216 12
20 143 19
20 94 59
20 102 72
20 231 76
20 233 48
20 115 73
20 120 4
20 122 83
20 127 20
21 32 79
21 257 79
21 278 88
21 293 3
21 262 59
21 136 47
21 105 48
21 107 83
21 28 71
21 175 42
21 113 54
21 114 18
21 270 7
21 182 50
21 60 99
21 118 57
21 30 15
22 262 0
22 139 98
22 141 71
22 273 39
22 150 100
22 152 7
22 26 20
22 156 19
22 285 84
22 158 42
22 290 90
22 35 10
22 39 26
22 40 91
22 28 83
22 46 52
22 178 63
22 52 24
22 188 19
22 62 58
22 66 73
22 227 48
22 73 49
22 76 77
22 209 27
22 211 54
22 95 92
22 98 82
22 99 89
22 236 100
22 238 93
22 246 10
23 261 92
23 135 63
23 138 19
23 139 53
23 289 4
23 291 66
23 296 47
23 92 4
23 47 98
23 184 82
23 63 73
23 66 91
23 140 22
23 75 79
23 205 12
23 207 53
23 214 95
23 215 66
23 220 63
23 118 78
24 131 58
24 140 12
24 272 54
24 150 84
24 26 55
24 36 38
24 293 68
24 299 80
24 55 74
24 184 83
24 186 35
24 67 95
24 197 99
24 70 71
24 73 63
24 76 87
24 79 6
24 209 63
24 86 35
24 94 67
24 95 91
24 104 46
24 110 97
25 259 60
25 267 58
25 140 62
25 145 81
25 146 48
25 280 25
25 155 0
25 28 14
25 29 7
25 31 65
25 133 15
25 156 64
25 175 81
25 186 68
25 198 16
25 72 0
25 208 60
25 86 51
25 219 94
25 221 20
25 99 86
25 228 64
25 232 25
25 105 5
25 106 78
25 108 66
25 238 46
25 244 40
25 245 87
26 130 18
26 133 86
26 142 81
26 147 89
26 151 20
26 157 89
26 158 64
26 289 88
26 162 78
26 296 20
26 185 2
26 64 78
26 197 96
26 74 46
26 76 60
26 207 96
26 213 89
26 86 36
26 94 97
26 95 71
26 96 19
26 233 63
26 116 88
26 249 62
26 252 72
26 125 77
27 145 51
27 275 46
27 277 94
27 154 56
27 283 46
27 36 50
27 165 67
27 181 63
27 186 87
27 189 10
27 193 20
27 69 24
27 199 92
27 206 52
27 79 38
27 210 27
27 83 99
27 107 80
27 241 58
27 252 48
28 129 74
28 261 29
28 270 27
28 144 50
28 157 70
28 158 78
28 49 83
28 54 94
28 183 40
28 57 66
28 191 50
28 66 67
28 71 5
28 89 38
28 91 52
28 226 19
28 99 18
28 115 63
28 116 100
28 249 29
28 250 91
28 251 57
28 127 81
29 257 99
29 260 55
29 134 58
29 266 38
29 269 35
29 277 97
29 157 5
29 37 68
29 168 26
29 45 34
29 64 93
29 67 24
29 204 39
29 218 98
29 97 78
29 99 99
29 104 84
29 233 63
29 108 77
29 124 13
30 131 50
30 263 75
30 138 46
30 150 13
30 151 78
30 284 49
30 35 92
30 292 72
30 166 78
30 295 43
30 54 88
30 64 4
30 193 76
30 196 16
30 70 44
30 163 82
30 213 43
30 215 13
30 223 88
30 237 17
30 243 59
30 250 96
30 251 6
31 130 97
31 131 86
31 134 12
31 135 1
31 265 69
31 138 57
31 142 32
31 277 39
31 287 49
31 161 1
31 294 88
31 167 12
31 129 27
31 41 59
31 170 25
31 299 50
31 53 19
31 58 62
31 67 60
31 197 18
31 216 5
31 186 75
31 99 44
31 235 94
31 112 64
31 242 16
31 246 73
31 247 70
31 120 83
31 254 50
32 259 70
32 267 89
32 278 31
32 283 31
32 159 38
32 165 17
32 294 39
32 42 71
32 48 56
32 183 82
32 60 93
32 205 72
32 216 52
32 224 40
32 119 30
32 121 7
32 251 71
32 254 82
32 127 100
33 144 54
33 279 4
33 158 11
33 160 14
33 162 54
33 293 57
33 166 66
33 39 71
