300 38000
0 1 72
0 2 7
0 3 6
0 4 26
0 6 54
0 7 55
0 8 89
0 10 50
0 11 10
0 13 98
0 15 89
0 16 27
0 17 88
0 18 34
0 19 66
0 21 46
0 22 44
0 24 68
0 25 17
0 26 42
0 27 33
0 28 66
0 29 97
0 30 55
0 31 54
0 32 94
0 34 7
0 35 23
0 36 28
0 37 70
0 38 31
0 39 31
0 40 51
0 41 94
0 42 15
0 44 70
0 45 50
0 46 2
0 47 67
0 48 17
0 49 35
0 50 22
0 51 17
0 52 40
0 55 59
0 56 95
0 57 51
0 58 63
0 60 64
0 61 44
0 62 82
0 63 65
0 64 31
0 65 98
0 66 99
0 68 96
0 69 58
0 70 88
0 71 12
0 73 17
0 74 2
0 75 5
0 78 93
0 79 14
0 80 81
0 81 1
0 82 26
0 83 92
0 84 6
0 85 19
0 88 15
0 89 19
0 90 22
0 91 69
0 93 97
0 94 84
0 95 82
0 97 29
0 98 13
0 100 45
0 101 82
0 102 55
0 104 73
0 105 45
0 106 28
0 107 49
0 108 59
0 109 99
0 110 41
0 111 72
0 113 45
0 114 59
0 115 0
0 116 16
0 117 88
0 118 42
0 119 78
0 120 29
0 122 55
0 123 77
0 124 90
0 126 0
0 127 4
0 128 58
0 129 66
0 131 10
0 133 76
0 134 99
0 136 92
0 137 36
0 140 31
0 141 75
0 142 67
0 143 59
0 144 14
0 145 45
0 146 68
0 147 70
0 148 76
0 149 41
0 150 64
0 151 52
0 152 85
0 153 11
0 154 75
0 155 19
0 156 78
0 157 35
0 158 4
0 159 77
0 160 18
0 161 89
0 162 69
0 163 75
0 164 86
0 165 31
0 167 3
0 168 83
0 169 63
0 170 20
0 172 89
0 173 84
0 174 23
0 176 55
0 177 97
0 178 37
0 179 73
0 180 71
0 181 50
0 183 81
0 185 47
0 186 60
0 187 6
0 188 43
0 189 87
0 191 95
0 192 46
0 193 34
0 194 28
0 195 96
0 196 56
0 197 40
0 198 80
0 199 58
0 200 26
0 202 99
0 204 21
0 205 46
0 207 34
0 208 2
0 209 83
0 210 50
0 212 94
0 213 0
0 214 14
0 216 81
0 217 80
0 218 25
0 219 29
0 220 64
0 221 95
0 223 13
0 224 96
0 225 19
0 227 96
0 228 82
0 229 56
0 230 39
0 231 45
0 233 50
0 236 91
0 237 64
0 238 77
0 239 63
0 240 99
0 241 27
0 242 47
0 243 15
0 244 65
0 245 68
0 246 25
0 247 93
0 248 50
0 250 14
0 252 39
0 253 30
0 254 88
0 255 0
0 256 58
0 257 10
0 258 30
0 259 93
0 260 33
0 261 4
0 262 24
0 263 58
0 264 54
0 265 61
0 266 47
0 267 79
0 268 93
0 269 37
0 270 2
0 271 71
0 272 44
0 273 55
0 274 5
0 275 98
0 277 50
0 279 76
0 280 44
0 281 35
0 282 99
0 284 71
0 285 51
0 286 81
0 287 86
0 288 50
0 289 91
0 290 58
0 291 30
0 292 36
0 293 14
0 294 48
0 295 56
0 296 28
0 297 21
0 298 38
0 299 1
1 2 58
1 3 63
1 4 91
1 5 65
1 6 71
1 7 12
1 8 58
1 9 32
1 10 56
1 11 88
1 13 57
1 14 68
1 15 43
1 16 99
1 18 67
1 19 16
1 20 66
1 21 25
1 22 63
1 24 76
1 25 100
1 26 25
1 27 88
1 28 87
