300 4000
0 6 24
0 266 59
0 11 70
0 12 15
0 271 63
0 272 5
0 275 75
0 23 19
0 26 4
0 286 3
0 31 67
0 35 57
0 164 79
0 40 36
0 58 98
0 59 82
0 193 83
0 194 86
0 70 93
0 268 87
0 206 53
0 80 50
0 87 33
0 226 36
0 228 3
0 232 50
0 109 87
0 240 10
0 123 79
0 126 26
1 259 38
1 263 80
1 9 57
1 141 84
1 171 17
1 280 56
1 281 13
1 37 84
1 41 41
1 299 15
1 60 49
1 69 45
1 208 83
1 88 59
1 223 79
1 226 5
1 99 8
1 101 76
1 113 93
1 116 10
1 246 86
1 251 11
2 257 94
2 140 35
2 272 43
2 150 38
2 285 0
2 162 25
2 297 65
2 46 64
2 48 82
2 182 8
2 56 54
2 65 33
2 197 29
2 70 79
2 201 0
2 81 86
2 210 87
2 84 51
2 219 2
2 222 0
2 225 60
2 100 16
2 234 83
2 107 87
2 243 60
2 120 70
2 124 29
3 136 25
3 269 2
3 143 80
3 275 24
3 148 68
3 24 28
3 153 78
3 282 60
3 27 2
3 31 80
3 160 61
3 166 16
3 42 68
3 299 10
3 46 63
3 179 48
3 52 85
3 54 16
3 184 2
3 189 70
3 197 55
3 73 71
3 85 48
3 98 18
3 241 27
3 245 11
3 247 35
3 249 22
3 251 62
4 251 100
4 68 84
4 38 16
4 199 65
4 169 99
4 167 26
4 45 67
4 46 15
4 17 21
4 147 89
4 52 47
4 286 19
4 182 13
4 183 27
4 260 76
4 154 4
4 91 16
4 125 9
4 94 0
4 85 90
5 262 51
5 7 89
5 265 1
5 267 32
5 269 83
5 144 87
5 18 51
5 276 23
5 149 60
5 278 84
5 25 31
5 283 9
5 30 4
5 35 92
5 36 82
5 294 90
5 39 10
5 172 64
5 27 54
5 51 17
5 59 63
5 62 23
5 192 85
5 69 26
5 203 40
5 208 71
5 163 52
5 84 42
5 164 17
5 16 4
5 99 73
5 107 10
5 240 20
5 243 10
5 120 35
5 123 86
6 260 10
6 135 78
6 10 98
6 139 92
6 15 83
6 147 2
6 153 25
6 33 74
6 291 12
6 175 7
6 68 46
6 197 36
6 202 27
6 203 97
6 91 46
6 95 42
6 228 10
6 110 6
6 114 86
6 249 38
6 250 67
7 129 66
7 135 5
7 139 59
7 13 61
7 272 49
7 18 67
7 281 7
7 26 98
7 27 85
7 156 16
7 160 39
7 292 73
7 294 80
7 42 36
7 178 79
7 47 85
7 48 56
7 50 21
7 51 3
7 195 30
7 197 66
7 200 49
7 248 14
7 245 56
7 120 59
8 257 66
8 258 42
8 131 78
8 132 12
8 263 25
8 138 20
8 267 66
8 145 6
8 274 94
8 19 55
8 25 99
8 28 100
8 286 7
8 31 60
8 35 54
8 167 14
8 43 8
8 44 58
8 186 6
8 159 78
8 63 44
8 195 77
8 197 8
8 71 46
8 215 31
8 218 92
8 91 50
8 58 59
8 101 36
8 109 49
8 115 14
8 245 76
8 121 51
9 257 68
9 299 86
9 20 60
9 162 6
9 163 23
9 38 87
9 263 94
9 54 34
9 55 59
9 186 99
9 202 1
9 190 18
9 63 1
9 199 41
9 74 81
9 83 26
9 215 55
9 88 9
9 223 76
9 100 49
9 230 100
9 233 75
9 240 41
9 115 63
9 118 49
10 138 3
10 140 68
10 271 94
10 144 83
10 147 36
10 21 17
10 30 14
10 170 71
10 45 9
10 178 78
10 72 26
10 207 46
10 222 1
10 101 15
10 105 0
10 110 19
10 117 18
10 120 36
10 251 86
10 124 67
10 149 86
11 133 97
11 141 69
11 270 30
11 271 91
11 276 19
11 23 32
11 152 71
11 285 97
11 286 5
11 159 33
11 288 60
11 290 56
11 292 27
11 293 80
11 298 20
11 299 64
11 174 56
11 60 91
11 68 86
11 203 73
11 208 42
11 209 70
11 91 63
11 102 76
11 104 39
11 188 13
11 110 88
11 242 22
11 115 52
11 254 68
11 255 45
12 259 58
12 134 35
12 269 31
12 271 76
12 28 41
12 157 24
12 37 86
12 156 35
12 299 84
12 178 20
12 57 92
12 58 14
12 62 52
12 194 94
12 67 79
12 199 83
12 75 94
12 76 4
12 83 5
12 86 80
12 293 99
12 97 52
12 101 27
12 103 57
12 115 29
12 246 97
12 119 22
12 120 14
13 257 36
13 194 50
13 259 78
13 164 83
13 37 73
13 87 58
13 140 55
13 162 53
13 142 87
13 80 65
13 35 1
13 116 100
13 119 80
13 217 50
13 220 18
13 62 71
13 31 49
14 256 0
14 257 83
14 260 78
14 129 6
14 267 89
14 270 77
14 145 57
14 146 54
14 20 76
14 282 38
14 284 89
14 34 5
14 172 35
14 45 75
14 47 63
14 186 14
14 67 4
14 290 10
14 83 12
14 213 94
14 88 80
14 58 21
14 94 42
14 228 77
14 232 13
14 108 79
14 112 89
14 121 6
14 123 54
15 132 73
15 261 3
15 270 71
15 109 97
15 17 27
15 147 37
15 153 58
15 26 84
15 161 74
15 165 16
15 41 66
15 42 70
15 176 52
15 180 0
15 183 98
15 188 46
15 64 54
15 196 65
15 69 83
15 74 41
15 213 38
15 90 83
15 94 68
15 99 70
15 104 96
15 237 26
15 240 56
15 241 27
15 114 43
15 118 5
15 298 86
16 128 55
16 131 97
16 132 45
16 140 36
16 143 19
16 144 25
16 148 0
16 149 68
16 150 23
16 25 34
16 161 4
16 291 13
16 43 21
16 172 84
16 50 39
16 179 5
16 55 78
16 205 7
16 78 98
16 208 83
16 35 29
16 92 91
16 221 61
16 224 59
16 80 17
16 105 50
16 248 21
16 122 96
16 277 18
17 258 26
17 134 89
17 135 73
17 138 71
17 145 52
17 21 32
17 153 37
17 282 27
17 287 85
17 288 13
17 161 30
17 163 12
17 166 43
17 40 62
17 44 99
17 159 31
17 191 27
17 198 36
17 79 88
17 211 90
17 218 53
17 91 64
17 99 25
17 232 25
17 106 18
17 115 12
17 126 90
18 128 60
18 259 9
18 136 91
18 280 60
18 146 35
18 19 97
18 152 99
18 30 26
18 31 77
18 175 92
18 158 81
18 183 26
18 61 39
18 64 96
18 195 39
18 91 37
18 227 70
18 228 87
18 104 74
18 253 73
18 119 40
18 251 95
18 125 29
19 265 16
19 143 49
19 273 9
19 20 84
19 26 85
19 27 33
19 31 51
19 160 77
19 112 34
19 164 37
19 296 61
19 43 9
19 48 0
19 52 99
19 186 10
19 59 9
19 188 85
19 189 46
19 62 44
19 197 50
19 70 1
19 161 80
19 201 92
19 75 23
19 204 41
19 205 86
19 81 37
19 211 82
19 292 20
19 91 79
19 250 0
19 98 16
19 187 52
19 232 49
19 105 95
19 234 21
19 237 4
19 240 19
19 104 77
19 116 34
19 119 65
19 122 8
20 257 49
20 260 30
20 133 24
20 145 45
20 23 88
20 282 20
20 155 53
20 33 55
20 293 43
20 166 87
20 47 19
20 179 61
20 180 63
20 183 81
20 56 48
20 57 77
20 196 92
20 200 72
20 201 37
20 208 80
20 87 90
20 99 79
20 108 62
21 257 32
21 135 58
21 266 34
21 267 25
21 273 13
21 25 84
21 28 30
21 285 4
21 286 70
21 288 86
21 290 99
21 35 27
21 164 84
21 298 11
21 178 33
21 138 28
21 193 22
21 194 92
21 70 95
21 79 53
21 85 77
21 223 32
21 97 9
21 105 16
21 109 87
21 113 16
22 136 50
22 269 16
22 35 95
22 37 81
22 42 17
22 71 72
22 175 15
22 48 12
22 187 98
22 65 3
22 196 49
22 199 55
22 80 58
22 212 64
22 95 67
22 208 25
22 102 12
22 232 18
22 105 46
22 118 46
22 247 42
22 255 55
23 133 78
23 140 7
23 142 29
23 272 51
23 277 2
23 153 81
23 31 7
23 46 70
23 176 98
23 184 55
23 287 91
23 61 32
23 71 61
23 207 12
23 81 68
23 210 29
23 213 99
23 91 34
23 104 42
23 111 10
23 255 5
24 136 100
24 265 6
24 138 85
24 268 16
24 143 68
24 278 80
24 28 83
24 158 9
24 288 6
24 37 2
24 38 1
24 295 86
24 170 5
24 30 41
24 194 31
24 209 31
24 213 62
24 88 14
24 104 47
24 233 12
24 167 90
24 249 78
25 259 92
25 263 90
25 265 48
25 278 60
25 152 34
25 283 80
25 289 2
25 166 72
25 295 2
25 297 31
25 174 21
25 176 10
25 50 13
25 183 45
25 184 67
25 59 5
25 62 36
25 65 89
25 68 49
25 197 50
25 202 28
25 207 84
25 216 44
25 90 67
25 97 65
25 187 40
25 230 87
25 107 5
25 237 20
25 244 57
25 245 99
25 253 46
26 225 87
26 291 88
26 273 91
26 105 11
26 138 79
26 175 55
26 245 88
26 177 13
26 114 47
26 276 12
26 277 2
26 185 83
26 251 21
26 93 52
26 287 29
27 132 51
27 141 16
27 271 68
27 145 28
27 131 29
27 150 32
27 152 21
27 282 55
27 154 38
27 290 89
27 165 45
27 169 30
27 178 37
27 176 30
27 50 36
27 190 32
27 66 85
27 74 25
27 210 82
27 217 58
27 223 45
27 98 60
27 228 24
27 230 67
27 110 44
27 113 95
27 242 77
27 118 38
28 64 27
28 133 91
28 263 90
28 282 75
28 285 53
28 36 23
28 297 60
28 42 55
28 43 32
28 47 5
28 51 12
28 55 9
28 191 98
28 192 9
28 67 20
28 72 32
28 209 51
28 84 8
28 215 37
28 88 17
28 220 11
28 232 50
28 109 15
29 132 24
29 138 8
29 272 66
29 149 91
29 154 52
29 287 19
29 32 19
29 41 19
29 115 32
29 60 48
29 191 10
29 66 62
29 68 14
29 73 63
29 79 34
29 120 95
29 228 71
29 227 53
29 100 37
29 229 88
29 243 44
29 248 33
29 277 47
30 130 23
30 139 62
30 273 72
30 277 91
30 151 79
30 156 28
30 261 82
30 295 60
30 40 66
30 172 92
30 182 96
30 63 94
30 196 72
30 198 24
30 200 74
30 75 69
30 206 9
30 79 91
30 208 73
30 211 59
30 89 52
30 96 76
30 229 65
30 234 74
30 39 77
30 237 52
30 252 9
31 141 0
31 277 100
31 150 5
31 155 34
31 32 24
31 163 91
31 47 13
31 58 98
31 191 89
31 66 22
31 208 28
31 209 98
31 230 10
31 103 41
31 104 54
31 111 75
31 243 95
31 245 94
31 120 63
31 124 34
32 163 34
32 36 68
32 198 78
32 294 76
32 295 45
32 296 40
32 50 63
32 110 45
32 141 6
32 152 58
32 274 83
32 227 32
32 184 23
32 228 92
32 282 7
32 187 65
32 92 48
32 158 25
32 293 95
33 257 42
33 132 13
33 140 54
33 277 36
33 150 72
33 285 80
33 158 86
33 165 63
33 43 52
33 47 15
33 191 42
33 193 54
33 198 90
33 200 53
33 73 89
33 203 59
33 207 54
33 212 77
33 215 50
33 101 92
33 114 74
33 116 2
33 249 95
33 124 39
34 265 67
34 145 11
34 274 95
34 153 30
34 155 33
34 284 18
34 160 0
34 163 2
34 166 3
34 295 90
34 176 53
34 179 35
34 181 52
34 188 20
34 69 49
34 73 3
34 202 35
34 77 89
34 207 29
34 82 13
34 211 58
34 216 60
34 217 44
34 223 69
34 227 57
34 240 17
34 115 77
34 251 23
34 126 99
35 140 63
35 276 79
35 155 31
35 164 31
35 293 67
35 297 44
35 49 57
35 180 56
35 186 90
35 61 4
35 190 66
35 192 42
35 206 94
35 207 71
35 222 7
35 103 74
35 106 44
35 111 81
35 245 1
35 246 72
35 248 97
35 121 6
35 254 94
35 149 33
36 257 7
36 131 88
36 267 80
36 141 83
36 271 21
36 144 67
36 147 1
36 282 45
36 285 75
36 287 19
36 290 17
36 163 11
36 293 42
36 114 81
36 174 64
36 176 68
36 159 10
36 194 78
36 202 51
36 208 31
36 91 34
36 37 88
36 227 49
36 230 44
36 231 44
36 233 30
36 239 25
36 242 9
36 246 31
37 235 31
37 133 12
37 271 65
37 274 8
37 154 97
37 261 0
37 181 99
37 183 48
37 61 22
37 76 99
37 83 19
37 101 64
37 232 100
37 107 37
37 108 0
37 239 11
37 118 78
37 125 70
38 264 26
38 265 46
38 143 59
38 276 60
38 287 96
38 161 49
38 297 26
38 182 24
38 88 94
38 220 7
38 94 39
38 229 45
38 230 73
38 105 45
38 237 12
38 110 59
38 112 24
38 115 4
38 117 66
38 121 2
38 126 25
39 259 51
39 260 89
39 266 83
39 143 12
39 272 65
39 273 2
39 131 43
39 276 21
39 277 42
39 157 89
39 44 22
39 93 94
39 62 43
39 63 30
39 70 97
39 205 10
39 79 28
39 217 18
39 221 49
39 99 0
39 100 7
39 105 53
39 234 78
39 110 13
39 240 1
39 241 66
39 233 98
39 249 54
39 255 39
39 106 10
39 127 73
40 290 56
40 296 51
40 297 71
40 43 21
40 173 95
40 177 74
40 58 29
40 86 45
40 233 37
40 248 54
40 136 31
40 252 87
40 232 61
40 62 99
40 149 16
41 224 22
41 65 35
41 107 19
41 101 56
41 262 87
41 161 91
41 296 56
41 138 69
41 139 3
41 108 89
41 141 58
41 50 38
41 83 16
41 97 96
41 278 82
41 282 49
41 187 70
41 62 22
42 257 4
42 130 88
42 259 26
42 262 4
42 139 70
42 272 83
42 110 60
42 279 70
42 287 50
42 295 74
42 185 6
42 151 60
42 189 75
42 67 67
42 70 35
42 206 52
42 208 80
42 87 31
42 90 1
42 104 57
42 188 67
42 238 68
42 232 59
42 116 80
42 117 85
42 251 89
43 256 39
43 257 56
43 165 94
43 113 10
43 174 4
43 176 74
43 181 91
43 61 13
43 190 94
43 67 62
43 202 38
43 203 17
43 204 42
43 80 61
43 222 23
43 98 95
43 233 91
43 241 38
43 243 84
43 117 28
43 246 70
43 254 89
44 224 7
44 66 98
44 99 68
44 262 54
44 199 66
44 104 6
44 275 24
44 266 50
44 119 4
44 162 15
44 271 4
44 163 83
44 183 22
44 267 66
44 122 63
44 61 46
45 139 37
45 145 35
45 274 61
45 276 63
45 150 69
45 279 23
45 152 74
45 153 90
45 51 62
45 182 90
45 186 77
45 196 90
45 71 19
45 200 67
45 75 48
45 76 78
45 93 32
45 96 24
45 225 18
45 110 7
45 240 36
45 244 5
45 124 60
46 128 44
46 259 33
46 263 60
46 130 6
46 142 56
46 131 17
46 148 4
46 152 17
46 282 20
46 284 94
46 166 58
46 156 46
46 298 64
46 198 21
46 74 21
46 204 87
46 82 4
46 220 5
46 222 90
46 227 39
46 230 66
46 234 11
46 108 54
46 243 53
47 257 52
47 281 1
47 154 76
47 155 21
47 296 30
47 297 45
47 171 23
47 174 31
47 175 55
47 51 47
47 188 84
47 67 30
47 70 93
47 73 83
47 211 84
47 86 12
47 225 15
47 98 19
47 233 2
47 240 76
47 241 7
47 242 16
47 125 79
48 262 64
48 273 98
48 161 13
48 293 52
48 298 57
48 189 10
48 67 80
48 71 85
48 208 72
48 210 49
48 94 70
48 229 17
48 109 31
48 238 25
48 241 12
48 117 11
48 122 62
48 126 97
49 96 82
49 180 7
49 228 54
49 165 14
49 294 60
49 167 47
49 105 40
49 279 78
49 204 58
49 207 71
49 116 71
49 190 5
49 55 93
49 56 90
49 164 74
49 284 95
49 285 17
49 153 38
50 264 61
50 236 94
50 271 2
50 276 10
50 151 25
50 156 70
50 160 75
50 177 46
50 187 87
50 191 8
50 194 11
50 77 94
50 205 66
50 213 2
50 216 54
50 220 55
50 228 42
50 229 40
50 103 52
50 105 25
50 108 91
50 115 86
50 119 96
51 129 50
51 131 49
51 269 50
51 148 34
51 278 91
51 291 63
51 295 54
51 171 18
51 179 46
51 56 48
51 57 91
51 188 22
51 68 91
51 72 64
51 211 72
51 86 44
51 122 57
51 100 0
51 118 44
51 250 67
52 129 72
52 130 80
52 131 86
52 268 53
52 258 2
52 270 49
52 141 46
52 273 99
52 285 84
52 159 63
52 161 23
52 171 73
52 173 47
52 179 66
52 64 40
52 224 3
52 202 60
52 79 9
52 210 80
52 85 67
52 95 88
52 228 18
52 145 34
52 108 74
52 238 1
52 119 1
53 138 58
53 269 34
53 275 100
53 156 44
53 162 67
53 295 60
53 284 95
53 172 58
53 175 39
53 176 25
53 58 77
53 72 11
53 75 100
53 77 56
53 207 77
53 214 43
53 221 45
53 223 34
53 224 29
53 225 64
53 236 83
53 113 30
53 122 53
53 126 35
53 255 62
54 208 39
54 66 77
54 228 31
54 199 73
54 202 56
54 167 48
54 108 88
54 114 62
54 78 66
54 79 3
54 144 53
54 270 49
54 245 24
54 183 87
54 110 89
54 186 61
54 188 7
54 126 87
55 226 8
55 227 12
