language,file,type,time
C,dense17.txt,Dense,0.075603740
Haskell,sparse9.txt,Sparse,27.453256
Go,sparse21.txt,Sparse,1.074851584
Go,sparse13.txt,Sparse,1.075223040
Haskell,dense4.txt,Dense,42.302156
Go,sparse18.txt,Sparse,1.063647232
C,sparse8.txt,Sparse,0.074193012
Go,dense13.txt,Dense,1.552185088
Go,dense11.txt,Dense,1.543452160
Haskell,dense19.txt,Dense,49.943738
Haskell,dense18.txt,Dense,46.235525
C,sparse9.txt,Sparse,0.075948480
Haskell,sparse23.txt,Sparse,27.214618
Haskell,dense2.txt,Dense,44.788662
Haskell,sparse13.txt,Sparse,27.078979
Haskell,dense23.txt,Dense,42.087142
Go,dense21.txt,Dense,1.542997504
C,sparse6.txt,Sparse,0.073403178
Haskell,sparse1.txt,Sparse,27.151894
Haskell,dense24.txt,Dense,44.659245
Go,dense17.txt,Dense,1.531837440
Haskell,sparse2.txt,Sparse,27.244381
Go,sparse14.txt,Sparse,1.052594432
Haskell,dense13.txt,Dense,42.981392
C,sparse21.txt,Sparse,0.073496941
C,dense6.txt,Dense,0.074437653
Haskell,dense17.txt,Dense,45.110501
Go,dense20.txt,Dense,1.533052928
Haskell,sparse19.txt,Sparse,27.191875
Haskell,dense20.txt,Dense,47.964638
C,sparse3.txt,Sparse,0.074952667
Haskell,sparse6.txt,Sparse,28.391192
Go,sparse16.txt,Sparse,1.072887296
C,dense5.txt,Dense,0.076068252
C,sparse16.txt,Sparse,0.074730310
C,dense14.txt,Dense,0.077024995
C,sparse11.txt,Sparse,0.085822427
Haskell,dense6.txt,Dense,44.689602
Go,sparse9.txt,Sparse,1.056723456
Go,sparse20.txt,Sparse,1.078776064
C,sparse2.txt,Sparse,0.074362122
Haskell,dense16.txt,Dense,44.15688
C,sparse4.txt,Sparse,0.075878674
C,dense15.txt,Dense,0.077854259
C,dense24.txt,Dense,0.078553787
Go,dense24.txt,Dense,1.547772160
Go,dense19.txt,Dense,1.541553664
Haskell,sparse10.txt,Sparse,27.320241
Haskell,sparse20.txt,Sparse,27.19016
Go,sparse2.txt,Sparse,1.058888192
Haskell,sparse24.txt,Sparse,27.354447
C,dense20.txt,Dense,0.076144409
C,dense2.txt,Dense,0.076867751
Go,sparse24.txt,Sparse,1.070480384
